Date,Close,Open,High,Low,Volume,Percent
2018/12/20,22859.60 ,23224.12 ,23282.20 ,22644.31 ,576.70M,-1.99%
2018/12/21,22445.37 ,22871.74 ,23254.59 ,22396.34 ,900.51M,-1.81%
2018/12/22,22445.37 ,22871.74 ,23254.59 ,22396.34 ,900.51M,-1.81%
2018/12/23,22445.37 ,22871.74 ,23254.59 ,22396.34 ,900.51M,-1.81%
2018/12/24,21792.20 ,22317.28 ,22339.87 ,21792.20 ,308.42M,-2.91%
2018/12/25,21792.20 ,22317.28 ,22339.87 ,21792.20 ,308.42M,-2.91%
2018/12/26,22878.45 ,21857.73 ,22878.92 ,21712.53 ,433.08M,4.98%
2018/12/27,23138.82 ,22629.06 ,23138.89 ,22267.42 ,407.94M,1.14%
2018/12/28,23062.40 ,23213.61 ,23381.88 ,22981.33 ,336.51M,-0.33%
2018/12/29,23062.40 ,23213.61 ,23381.88 ,22981.33 ,336.51M,-0.33%
2018/12/30,23062.40 ,23213.61 ,23381.88 ,22981.33 ,336.51M,-0.33%
2018/12/31,23327.46 ,23153.94 ,23333.18 ,23118.30 ,288.83M,1.15%
2019/1/1,23327.46 ,23153.94 ,23333.18 ,23118.30 ,288.83M,1.15%
2019/1/2,23346.24 ,23058.61 ,23413.47 ,22928.59 ,321.57M,0.08%
2019/1/3,22686.22 ,23176.39 ,23176.39 ,22638.41 ,424.24M,-2.83%
2019/1/4,23433.16 ,22894.92 ,23518.64 ,22894.92 ,396.02M,3.29%
2019/1/5,23433.16 ,22894.92 ,23518.64 ,22894.92 ,396.02M,3.29%
2019/1/6,23433.16 ,22894.92 ,23518.64 ,22894.92 ,396.02M,3.29%
2019/1/7,23531.35 ,23474.26 ,23687.74 ,23301.59 ,334.20M,0.42%
2019/1/8,23787.45 ,23680.32 ,23864.65 ,23581.45 ,317.42M,1.09%
2019/1/9,23879.12 ,23844.27 ,23985.45 ,23776.56 ,324.57M,0.39%
2019/1/10,24001.92 ,23811.11 ,24014.78 ,23703.25 ,338.15M,0.51%
2019/1/11,23995.95 ,23940.01 ,23996.32 ,23798.16 ,262.65M,-0.02%
2019/1/12,23995.95 ,23940.01 ,23996.32 ,23798.16 ,262.65M,-0.02%
2019/1/13,23995.95 ,23940.01 ,23996.32 ,23798.16 ,262.65M,-0.02%
2019/1/14,23909.84 ,23880.53 ,23964.90 ,23765.24 ,277.56M,-0.36%
2019/1/15,24065.59 ,23914.11 ,24099.14 ,23887.93 ,291.57M,0.65%
2019/1/16,24207.16 ,24139.91 ,24288.61 ,24119.72 ,302.83M,0.59%
2019/1/17,24370.10 ,24147.09 ,24474.46 ,24088.90 ,288.59M,0.67%
2019/1/18,24706.35 ,24534.19 ,24750.22 ,24459.03 ,372.97M,1.38%
2019/1/19,24706.35 ,24534.19 ,24750.22 ,24459.03 ,372.97M,1.38%
2019/1/20,24706.35 ,24534.19 ,24750.22 ,24459.03 ,372.97M,1.38%
2019/1/21,24706.35 ,24534.19 ,24750.22 ,24459.03 ,372.97M,1.38%
